ticker,time,post title sentiment_score,post body sentiment_score,comment sentiment_score,Open,High,Low,Close,Volume,Dividends,Stock Splits,Movement,Volume MA,Previous Movement
AAPL,2025-06-04,0.886,0.9915,0.6986,202.67998220748078,206.00620910456834,201.8709028727957,202.590087890625,43604000,0.0,0.0,0,,
AAPL,2025-06-10,-0.2562,0.48756666666666665,0.1373,200.3726011094186,204.11835001917973,200.34263633745982,202.44024658203125,54672600,0.0,0.0,1,49138300.0,0.0
AAPL,2025-06-11,0.0,0.10116666666666667,0.32850999999999997,203.26930749599725,204.26817387189894,198.18508130061548,198.55465698242188,60989900,0.0,0.0,0,57831250.0,1.0
AAPL,2025-06-12,0.128,-0.2576,0.2702363636363636,198.85432303920933,199.45363372918547,197.13627162659284,198.97418212890625,43904600,0.0,0.0,1,52447250.0,0.0
AAPL,2025-06-18,-0.21075,-0.3382,0.20233571428571429,195.71787336797544,197.3460303816964,194.84886452825484,196.35714721679688,45394700,0.0,0.0,1,44649650.0,1.0
AAPL,2025-06-20,0.0,0.0,0.12394999999999998,198.01527480684123,201.47134391409438,196.6368343380514,200.7721405029297,96813500,0.0,0.0,1,71104100.0,1.0
AAPL,2025-06-25,-0.2553,0.059099999999999986,-0.15848,201.2216365357081,203.43912119943792,200.39257558111612,201.33151245117188,39525700,0.0,0.0,1,68169600.0,1.0
AAPL,2025-06-26,-0.057166666666666664,0.6425666666666666,0.38620714285714286,201.20164572639828,202.41028074115465,199.23389299836737,200.7721405029297,50799100,0.0,0.0,0,45162400.0,1.0
AAPL,2025-06-27,0.0,0.8591,0.22865714285714286,201.66113009938155,202.98962419564972,199.77327327657756,200.85205078125,73188600,0.0,0.0,0,61993850.0,0.0
AAPL,2025-06-30,0.0,0.0,0.08201666666666667,201.78098710410558,207.15489297707504,199.0341046248948,204.93740844726562,91912800,0.0,0.0,1,82550700.0,0.0
AAPL,2025-07-01,0.0,0.0,0.22646000000000002,206.4357061767528,209.95171998702364,205.90630823197938,207.58441162109375,78788900,0.0,0.0,1,85350850.0,1.0
AAPL,2025-07-02,-0.18886666666666665,0.2402666666666667,0.5056499999999999,208.6731759252599,213.09814660534315,207.9040445567577,212.1991729736328,67941800,0.0,0.0,1,73365350.0,1.0
AAPL,2025-07-07,0.6369,0.0,0.08675,212.43889126622693,215.9848699115094,208.56330013289198,209.7119903564453,50229000,0.0,0.0,0,59085400.0,1.0
AAPL,2025-07-08,-0.34,-0.7845,0.09587142857142858,209.86183643928914,211.1903153368944,208.213697736729,209.7719268798828,42848900,0.0,0.0,0,46538950.0,0.0
AAPL,2025-07-09,0.0,0.0,0.260475,209.2924745188519,211.09043707809712,206.98509558510867,210.90065002441406,48749400,0.0,0.0,1,45799150.0,0.0
AAPL,2025-07-10,0.0,0.0,-0.017299999999999996,210.27134950514616,213.23798377907798,209.7918979255535,212.16920471191406,44443600,0.0,0.0,1,46596500.0,1.0
AAPL,2025-07-15,0.4588,0.0,0.09575,208.9828312368767,211.64980271899068,208.6831682659836,208.87295532226562,42296300,0.0,0.0,0,43369950.0,1.0
AAPL,2025-07-16,-0.5823,0.0,0.31131333333333333,210.06160887608695,212.1592191902425,208.40348697906978,209.92176818847656,47490500,0.0,0.0,0,44893400.0,0.0
AAPL,2025-07-17,0.0,-0.2263,0.5424666666666668,210.33130094399476,211.5599023237274,209.35240091776063,209.78192138671875,48068100,0.0,0.0,0,47779300.0,0.0
AAPL,2025-07-18,0.5994,-0.7059,0.5820500000000001,210.63095139102305,211.54990664350106,209.46227954032304,210.9405975341797,48974600,0.0,0.0,1,48521350.0,0.0
AAPL,2025-07-22,0.09866666666666667,0.287,0.165825,212.89838571641525,214.7063314773177,211.9894136266437,214.15695190429688,46404100,0.0,0.0,1,47689350.0,1.0
AAPL,2025-07-23,-0.296,0.0,0.50825,214.75626907170553,214.90609293027538,212.1692088371252,213.9072265625,46989300,0.0,0.0,0,46696700.0,1.0
AAPL,2025-07-25,-0.3353,0.0,-0.283225,214.45660521718813,214.9960015887686,213.15807589620647,213.63754272460938,40268800,0.0,0.0,0,43629050.0,0.0
AAPL,2025-07-31,0.26030000000000003,0.5955,0.21578717948717951,208.25365677749065,209.60211724381097,206.92516266487007,207.33470153808594,80698400,0.0,0.0,0,60483600.0,0.0
AAPL,2025-08-01,0.0,0.0,0.1044392857142857,210.63095505795985,213.33788973606855,201.27158167093614,202.1505889892578,104434500,0.0,0.0,0,92566450.0,0.0
AAPL,2025-08-04,-0.27423333333333333,0.0,0.11823953488372092,204.27816503495924,207.64435521756303,201.4513712516652,203.11949157714844,75109300,0.0,0.0,0,89771900.0,0.0
AAPL,2025-08-05,0.0,0.0,0.08390833333333335,203.1694082424696,205.1072113881769,201.93082373064988,202.68995666503906,44155100,0.0,0.0,0,59632200.0,0.0
AAPL,2025-08-06,-0.09196666666666665,0.42983333333333335,0.2808263157894737,205.39689808550258,215.1358452662651,205.35693489516686,213.0082550048828,108483100,0.0,0.0,1,76319100.0,0.0
AAPL,2025-08-07,-0.08333333333333333,0.22053333333333336,0.23394722222222222,218.63187314031333,220.59964108330854,216.33447747046458,219.7805633544922,90224800,0.0,0.0,1,99353950.0,1.0
AAPL,2025-08-08,-0.10533999999999999,0.26692,0.227348,220.57966572513484,230.73813503605493,219.00145500716468,229.0900115966797,113854000,0.0,0.0,1,102039400.0,1.0
AAPL,2025-08-11,0.1366,0.27275,0.004409090909090908,227.9199981689453,229.55999755859375,224.75999450683594,227.17999267578125,61806100,0.26,0.0,0,87830050.0,1.0
AAPL,2025-08-12,0.6369,0.0,0.35515,228.00999450683594,230.8000030517578,227.07000732421875,229.64999389648438,55626200,0.0,0.0,1,58716150.0,0.0
AAPL,2025-08-13,0.0,0.17,0.23775,231.07000732421875,235.0,230.42999267578125,233.3300018310547,69878500,0.0,0.0,1,62752350.0,1.0
AAPL,2025-08-14,0.17,0.0,0.1926470588235294,234.05999755859375,235.1199951171875,230.85000610351562,232.77999877929688,51916300,0.0,0.0,0,60897400.0,1.0
AAPL,2025-08-15,0.0,0.0,0.0876,234.0,234.27999877929688,229.33999633789062,231.58999633789062,56038700,0.0,0.0,0,53977500.0,0.0
AAPL,2025-08-18,0.24695,0.60145,-0.077275,231.6999969482422,233.1199951171875,230.11000061035156,230.88999938964844,37476200,0.0,0.0,0,46757450.0,0.0
AAPL,2025-08-19,0.0,0.7003,0.3471666666666667,231.27999877929688,232.8699951171875,229.35000610351562,230.55999755859375,39402600,0.0,0.0,0,38439400.0,0.0
AAPL,2025-08-22,-0.20095,0.4375,0.13773333333333337,226.1699981689453,229.08999633789062,225.41000366210938,227.75999450683594,42477800,0.0,0.0,1,40940200.0,0.0
AAPL,2025-08-26,-0.11315,0.27115,0.24354285714285714,226.8699951171875,229.49000549316406,224.69000244140625,229.30999755859375,54575100,0.0,0.0,1,48526450.0,1.0
AAPL,2025-08-27,0.15622,-0.005299999999999994,0.26584545454545455,228.61000061035156,230.89999389648438,228.25999450683594,230.49000549316406,31259500,0.0,0.0,1,42917300.0,1.0
AAPL,2025-08-28,-0.07543333333333334,-0.08316666666666665,0.11248666666666665,230.82000732421875,233.41000366210938,229.33999633789062,232.55999755859375,38074700,0.0,0.0,1,34667100.0,1.0
AAPL,2025-09-03,0.0,0.0,0.6207,237.2100067138672,238.85000610351562,234.36000061035156,238.47000122070312,66427800,0.0,0.0,1,52251250.0,1.0
AAPL,2025-09-04,0.0,0.21645,0.5232285714285715,238.4499969482422,239.89999389648438,236.74000549316406,239.77999877929688,47549400,0.0,0.0,1,56988600.0,1.0
AAPL,2025-09-05,-0.3612,0.0,0.2841625,240.0,241.32000732421875,238.49000549316406,239.69000244140625,54870400,0.0,0.0,0,51209900.0,1.0
AAPL,2025-09-10,0.11315,0.4903,-0.04892222222222223,232.19000244140625,232.4199981689453,225.9499969482422,226.7899932861328,83440800,0.0,0.0,0,69155600.0,0.0
